Sample	Mut_Rate	Fitness	Nodes	Leaves	Tree_Score
Clonal_evolution_10001223.dat	0.000040000000	0.006000000000	5	4	0.750000
Clonal_evolution_10003550.dat	0.000003000000	0.010000000000	1	1	0.000000
Clonal_evolution_10008344.dat	0.000006000000	0.900000000000	1	1	0.000000
Clonal_evolution_10011037.dat	0.000000500000	0.010000000000	2	1	0.000000
Clonal_evolution_10015121.dat	0.000040000000	0.000600000000	4	2	0.500000
Clonal_evolution_10016306.dat	0.000100000000	0.007000	4	1	0.000000
Clonal_evolution_10016509.dat	0.000400000000	0.010000000000	6	4	0.750000
Clonal_evolution_10020608.dat	0.000000800000	0.010000000000	1	1	0.000000
Clonal_evolution_10023124.dat	0.000004000000	0.000100000000	5	2	0.500000
Clonal_evolution_10025403.dat	0.000000700000	0.050000000000	1	1	0.000000
Clonal_evolution_10027008.dat	0.000060000000	0.000100000000	8	4	0.571429
Clonal_evolution_10028253.dat	0.000004000000	0.000400000000	1	1	0.000000
Clonal_evolution_1002836.dat	0.000009000000	0.010000000000	1	1	0.000000
Clonal_evolution_10029865.dat	0.000007000000	0.004000000000	1	1	0.000000
Clonal_evolution_10032826.dat	0.000030000000	0.002000000000	4	3	0.666667
Clonal_evolution_10035858.dat	0.000003000000	0.900000000000	1	1	0.000000
Clonal_evolution_10036135.dat	0.000003000000	0.000500000000	5	4	0.750000
Clonal_evolution_10037131.dat	0.000000500000	0.000500000000	1	1	0.000000
Clonal_evolution_10037178.dat	0.000060	0.009000	5	4	0.750000
Clonal_evolution_10038026.dat	0.000060000000	0.001000000000	5	3	0.583333
Clonal_evolution_1003927.dat	0.000070000000	0.000500000000	6	4	0.750000
Clonal_evolution_10044269.dat	0.000006000000	0.007000000000	1	1	0.000000
Clonal_evolution_10044297.dat	0.000070000000	0.000100000000	5	4	0.750000
Clonal_evolution_10046821.dat	0.000008	0.005000	1	1	0.000000
Clonal_evolution_10046924.dat	0.000070000000	0.004000000000	5	4	0.750000
Clonal_evolution_10047008.dat	0.000080000000	0.010000000000	2	1	0.000000
Clonal_evolution_10047710.dat	0.000004000000	0.009000000000	1	1	0.000000
Clonal_evolution_10049692.dat	0.000004000000	0.010000000000	2	1	0.000000
Clonal_evolution_10051938.dat	0.000000400000	0.000500000000	1	1	0.000000
Clonal_evolution_10053667.dat	0.000030000000	0.009000000000	4	3	0.666667
Clonal_evolution_10055268.dat	0.000010000000	0.007000	1	1	0.000000
Clonal_evolution_10059954.dat	0.000700000000	0.003000000000	11	7	0.757143
Clonal_evolution_10060054.dat	0.000020000000	0.000800000000	6	4	0.750000
Clonal_evolution_10063024.dat	0.000080000000	0.000100000000	8	5	0.742857
Clonal_evolution_10063328.dat	0.000060000000	0.000500000000	9	7	0.839286
Clonal_evolution_10066818.dat	0.000004000000	0.001000000000	1	1	0.000000
Clonal_evolution_10072236.dat	0.000200000000	0.003000000000	6	4	0.600000
Clonal_evolution_10074033.dat	0.000040000000	0.000900000000	3	1	0.000000
Clonal_evolution_10076683.dat	0.000010000000	0.000100000000	5	4	0.750000
Clonal_evolution_10076937.dat	0.000070000000	0.007000000000	3	2	0.500000
Clonal_evolution_10079019.dat	0.000030000000	0.000600000000	4	2	0.500000
Clonal_evolution_10086917.dat	0.000002000000	0.005000000000	2	1	0.000000
Clonal_evolution_10088950.dat	0.000020000000	0.000300000000	7	5	0.800000
Clonal_evolution_10089055.dat	0.000008000000	0.001000000000	3	2	0.500000
Clonal_evolution_1009299.dat	0.000004000000	0.001000000000	1	1	0.000000
Clonal_evolution_10094710.dat	0.000010000000	0.002000000000	1	1	0.000000
Clonal_evolution_10098247.dat	0.000010000000	0.005000000000	1	1	0.000000
Clonal_evolution_10098743.dat	0.000001000000	0.000500000000	2	1	0.000000
Clonal_evolution_10102295.dat	0.000000900000	0.000900000000	1	1	0.000000
Clonal_evolution_10103050.dat	0.000060000000	0.050000000000	3	2	0.500000
Clonal_evolution_10103925.dat	0.000008000000	0.000900000000	2	1	0.000000
Clonal_evolution_10105837.dat	0.000000200000	0.002000000000	1	1	0.000000
Clonal_evolution_10106332.dat	0.000010000000	0.050000000000	1	1	0.000000
Clonal_evolution_10107587.dat	0.000700000000	0.007000000000	10	6	0.814815
Clonal_evolution_10110031.dat	0.000003000000	0.000500000000	1	1	0.000000
Clonal_evolution_10110235.dat	0.000007000000	0.001000000000	3	1	0.000000
Clonal_evolution_10115114.dat	0.000040000000	0.000100000000	8	4	0.571429
Clonal_evolution_10116504.dat	0.000000800000	0.500000000000	1	1	0.000000
Clonal_evolution_10117317.dat	0.000004000000	0.002000000000	1	1	0.000000
Clonal_evolution_10117430.dat	0.000020000000	0.000800000000	3	2	0.500000
Clonal_evolution_10117552.dat	0.000000600000	0.010000000000	1	1	0.000000
Clonal_evolution_10123726.dat	0.000050000000	0.000800000000	4	2	0.333333
Clonal_evolution_10123826.dat	0.000000800000	0.100000000000	1	1	0.000000
Clonal_evolution_10124692.dat	0.000008000000	0.000700000000	4	3	0.666667
Clonal_evolution_10125962.dat	0.000006000000	0.000800000000	2	1	0.000000
Clonal_evolution_1013284.dat	0.000400000000	0.000700000000	8	3	0.523810
Clonal_evolution_10134291.dat	0.000050000000	0.000800000000	8	6	0.809524
Clonal_evolution_10135158.dat	0.000500000000	0.000200000000	1	1	0.000000
Clonal_evolution_10136924.dat	0.000020000000	0.100000000000	1	1	0.000000
Clonal_evolution_10137358.dat	0.000400000000	0.000700000000	8	4	0.642857
Clonal_evolution_10138578.dat	0.000009000000	0.010000000000	1	1	0.000000
Clonal_evolution_10143258.dat	0.000003000000	0.009000	1	1	0.000000
Clonal_evolution_10145188.dat	0.000004000000	0.050000000000	1	1	0.000000
Clonal_evolution_10147293.dat	0.000002000000	0.000400000000	2	1	0.000000
Clonal_evolution_10153355.dat	0.000010000000	0.000400000000	3	2	0.500000
Clonal_evolution_10154455.dat	0.000000500000	0.100000000000	1	1	0.000000
Clonal_evolution_10156822.dat	0.000900000000	0.003000000000	9	5	0.775000
Clonal_evolution_10158256.dat	0.000009000000	0.000800000000	2	1	0.000000
Clonal_evolution_10159269.dat	0.000020000000	0.002000000000	4	3	0.666667
Clonal_evolution_10160583.dat	0.000050000000	0.009000	3	2	0.500000
Clonal_evolution_10161026.dat	0.000000800000	0.000300000000	1	1	0.000000
Clonal_evolution_10163697.dat	0.000070000000	0.000500000000	5	3	0.500000
Clonal_evolution_10170147.dat	0.000000700000	0.003000000000	1	1	0.000000
Clonal_evolution_10170435.dat	0.000002000000	0.001000000000	1	1	0.000000
Clonal_evolution_10170758.dat	0.000070000000	0.010000000000	2	1	0.000000
Clonal_evolution_10175029.dat	0.000006000000	0.100000000000	1	1	0.000000
Clonal_evolution_10177204.dat	0.000040000000	0.900000000000	1	1	0.000000
Clonal_evolution_10179550.dat	0.000000200000	0.000900000000	1	1	0.000000
Clonal_evolution_10181079.dat	0.000001000000	0.006000	1	1	0.000000
Clonal_evolution_10183130.dat	0.000000800000	0.001000	1	1	0.000000
Clonal_evolution_10188094.dat	0.000030000000	0.500000000000	1	1	0.000000
Clonal_evolution_10188677.dat	0.000009000000	0.000800000000	2	1	0.000000
Clonal_evolution_10188987.dat	0.000000800000	0.000600000000	1	1	0.000000
Clonal_evolution_10195509.dat	0.000050000000	0.050000000000	2	1	0.000000
Clonal_evolution_10195745.dat	0.000070000000	0.000300000000	10	6	0.740741
Clonal_evolution_10195807.dat	0.000060000000	0.000900000000	5	3	0.666667
Clonal_evolution_10195985.dat	0.000004000000	0.005000000000	2	1	0.000000
Clonal_evolution_1019631.dat	0.000090000000	0.050000000000	2	1	0.000000
Clonal_evolution_10204153.dat	0.000008000000	0.001000000000	3	2	0.500000
Clonal_evolution_10205377.dat	0.000040000000	0.004000000000	3	2	0.500000
Clonal_evolution_1020727.dat	0.000030000000	0.000600000000	7	6	0.833333
Clonal_evolution_10207304.dat	0.000080000000	0.000100000000	6	3	0.600000
Clonal_evolution_10207320.dat	0.000080000000	0.050000000000	2	1	0.000000
Clonal_evolution_10212491.dat	0.000090000000	0.000400000000	10	5	0.688889
Clonal_evolution_10212543.dat	0.000010000000	0.500000000000	1	1	0.000000
Clonal_evolution_10214802.dat	0.000030000000	0.009000000000	3	2	0.500000
Clonal_evolution_10215551.dat	0.000000800000	0.010000000000	1	1	0.000000
Clonal_evolution_10215916.dat	0.000030000000	0.003000000000	4	3	0.666667
Clonal_evolution_10218266.dat	0.000080000000	0.000400000000	12	9	0.858586
Clonal_evolution_10219601.dat	0.000004000000	0.009000000000	1	1	0.000000
Clonal_evolution_1022606.dat	0.000003000000	0.007000000000	1	1	0.000000
